"side","doi_1","doi_2","title_1","title_2","title_sim","first_author_1","first_author_2","year_1","year_2","is_preprint_1","is_preprint_2","group_key","action","doi_o_group"
"replication","10.1037/0022-3514.90.6.893",NA,"Elderly-Related Words Prime Slow Walking","Elderly-Related Words Prime Slow Walking","1","pashler","pashler","2011","2011","FALSE","FALSE","doi_o: 10.1037/0022-3514.71.2.230","keep_1","10.1037/0022-3514.71.2.230"
"replication","10.31234/osf.io/qhxkm","10.1111/desc.13581","Infants’ Social Evaluation of Helpers and Hinderers: A Large-Scale, Multi-Lab, Coordinated Replication Study","Infants’ Social Evaluation of Helpers and Hinderers: A Large‐Scale, Multi‐Lab, Coordinated Replication Study","1","lucca","lucca","2021","2024","TRUE","FALSE","doi_o: 10.1038/nature06288","keep_2","10.1038/nature06288"
"replication","10.5281/zenodo.17716241","10.5281/zenodo.17716240","Replication of a study from ""Knowledge about others reduces one's own sense of anonymity"" (Nature | Shah & LaForest 2022)","Replication of a study from ""Knowledge about others reduces one's own sense of anonymity"" (Nature | Shah & LaForest 2022)","1","replications","replications","2022","2022","FALSE","FALSE","doi_o: 10.1038/s41586-022-04452-3","keep_2","10.1038/s41586-022-04452-3"
"replication","10.1101/2023.05.26.542419","10.1126/sciadv.adl0999","No Replication of Direct Neuronal Activity-related (DIANA) fMRI in Anesthetized Mice","No replication of direct neuronal activity–related (DIANA) fMRI in anesthetized mice","1","choi","choi","2023","2024","TRUE","FALSE","doi_o: 10.1126/science.abh4340","keep_2","10.1126/science.abh4340"
"replication","10.31234/osf.io/zeux9","10.1177/25152459241267902","Registered Replication Report: A Large Multilab Cross-Cultural Conceptual Replication of Turri, Buckwalter, &amp;amp; Blouw (2015)","Registered Replication Report: A Large Multilab Cross-Cultural Conceptual Replication of Turri et al. (2015)","0.843","hall","hall","2018","2024","TRUE","FALSE","doi_o: 10.2139/ssrn.3649814","keep_2","10.2139/ssrn.3649814"
"replication","10.21203/rs.3.rs-7544401/v1","10.1007/s00213-025-06983-9","Regional Specificity of the Cingulate Cortex Thickness Association with the Intensity of Psilocybin Experience: A Replication Study","Regional specificity of the cingulate cortex thickness association with the intensity of psilocybin experience: a replication study","1","greguš","greguš","2025","2025","TRUE","FALSE","doi_o: 10.3390/biomedicines8020034","keep_2","10.3390/biomedicines8020034"
"replication","10.1080/00221309.2024.2317247","10.31234/osf.io/68jft","Corruption and hierarchy: a replication of studies 1c and 6 of Fath &amp; Kay 2018","Corruption and Hierarchy: A Replication of Studies 1c and 6 of Fath &amp;amp; Kay 2018","0.963",NA,"evans",NA,"2024","FALSE","TRUE","doi_o: 10.1016/j.obhdp.2018.10.004","keep_1","10.1016/j.obhdp.2018.10.004"
"replication","10.1177/1474704919852921","10.31234/osf.io/mtsx8","Are Sex Differences in Preferences for Physical Attractiveness and Good Earning Capacity in Potential Mates Smaller in Countries With Greater Gender Equality?","Are sex differences in preferences for physical attractiveness and good earning capacity in potential mates smaller in countries with greater gender equality?","1","zhang","zhang","2019","2018","FALSE","TRUE","doi_o: 10.1037/0003-066x.54.6.408","keep_1","10.1037/0003-066x.54.6.408"
"replication","10.1037/0022-3514.90.6.893",NA,"Elderly-Related Words Prime Slow Walking","Elderly-Related Words Prime Slow Walking","1","pashler","pashler","2011","2011","FALSE","FALSE","doi_o: 10.1037/0022-3514.71.2.230","keep_1","10.1037/0022-3514.71.2.230"
"replication","10.1525/collabra.77610","10.17605/osf.io/j3ue4","Revisiting the Role of Public Exposure and Moral Beliefs on Feelings of Shame and Guilt: Replication Registered Report of Smith et al. (2002)’s Study 1","Revisiting the role of public exposure and moral beliefs on feelings of shame and guilt: Replication Registered Report of Smith et al. (2002)’s Study 1","1","zhang","yee","2023","2022","FALSE","TRUE","doi_o: 10.1037/0022-3514.83.1.138","keep_1","10.1037/0022-3514.83.1.138"
"replication","10.1016/j.jrp.2019.06.009","10.31234/osf.io/3bhja","No personality change following unemployment: A registered replication of Boyce, Wood, Daly, and Sedikides (2015)","No personality change following unemployment: A registered replication of Boyce, Wood, Daly, and Sedikides (2015)","1",NA,"gnambs",NA,"2019","FALSE","TRUE","doi_o: 10.1037/a0038647","keep_1","10.1037/a0038647"
"replication","10.1037/pspa0000261","10.31234/osf.io/w87yr","Does social psychology persist over half a century? A direct replication of Cialdini et al.’s (1975) classic door-in-the-face technique.","Does social psychology persist over half a century? A direct replication of Cialdini et al.’s (1975) classic door-in-the-face technique","1","genschow","genschow","2021","2020","FALSE","TRUE","doi_o: 10.1037/h0076284","keep_1","10.1037/h0076284"
"replication","10.1111/psyp.70042","10.31234/osf.io/xr6bn","Psychometric Reliability of <scp>ERN</scp> and Pe Across Flanker, Stroop, and Go/No‐Go Tasks: A Direct and Conceptual Replication","Psychometric Reliability of ERN and Pe Across Flanker, Stroop, and Go/No-Go Tasks: A Direct and Conceptual Replication","1","holbrook","holbrook","2025","2024","FALSE","TRUE","doi_o: 10.1111/psyp.12132","keep_1","10.1111/psyp.12132"
"replication","10.1080/17461391.2020.1781265","10.31236/osf.io/tzn6d","Does mental fatigue impair physical performance? A replication study","Does mental fatigue impair physical performance? A replication study","1","holgado","holgado","2020","2019","FALSE","FALSE","doi_o: 10.1152/japplphysiol.91324.2008","keep_1","10.1152/japplphysiol.91324.2008"
"replication","10.31219/osf.io/q56rk","10.5334/irsp.522","Effects of the Generic Masculine and its Alternatives in Germanophone countries - A Multi-lab Replication and Extension of Stahlberg, Sczesny, and Braun, 2001","Effects of the Generic Masculine and Its Alternatives in Germanophone Countries: A Multi-Lab Replication and Extension of Stahlberg, Sczesny, and Braun (2001)","1","brohmer","brohmer","2024","2024","TRUE","FALSE","doi_o: 10.1177/0261927x01020004004","keep_2","10.1177/0261927x01020004004"
"original","10.1037/e519702015-101","10.1073/pnas.1103343108","Motivating voter turnout by invoking the self","Motivating voter turnout by invoking the self","1","bryan","bryan","2011","2011","FALSE","FALSE","title: motivating voter turnout by invoking the self","keep_2",NA
"original (fuzzy)","10.1111/j.1467-8624.1976.tb02248.x","10.2307/1128199","Sex Differences: A Study of the Eye of die Beholder","Sex Differences: A Study of the Eye of the Beholder","0.96","condry","condry","1976","1976","FALSE","FALSE","author: condry","keep_2",NA
"replication","10.18718/81781.38","10.31234/osf.io/bgp3m",NA,NA,NA,NA,NA,NA,NA,"FALSE","TRUE","manual override","keep_1",NA
"replication","10.31234/osf.io/eu9cj","10.31234/osf.io/yt9n8","Second Replication of Finn & Hudson Kam (2008) Experiment 1","Second Replication of Finn & Hudson Kam (2008) Experiment 3","0.982","ricketts","ricketts","2022","2022","TRUE","TRUE","doi_o: 10.1016/j.cognition.2008.04.002","keep_both","10.1016/j.cognition.2008.04.002"
"replication","10.1101/2020.07.10.197269","10.1017/s2040174420001294","Digit Ratio (2D:4D) and Amniotic Testosterone and Estradiol: An Attempted Replication of Lutchmaya et al. (2004)","Digit ratio (2D:4D) and amniotic testosterone and estradiol: an attempted replication of Lutchmaya et al. (2004)","1","richards","richards","2020","2021","TRUE","FALSE","doi_o: 10.1016/j.earlhumdev.2003.12.002","keep_2","10.1016/j.earlhumdev.2003.12.002"
"replication","10.5334/irsp.751","10.17605/osf.io/knjhu","Outcomes Affect Evaluations of Decision Quality: Replication and Extensions of Baron and Hershey's (1988) Outcome Bias Experiment 1","Outcomes affect evaluations of decision quality: ‎ Replication and extension of Baron and Hershey's (1988) Outcome Bias Experiment 1‎","0.992","aiyer","yuk","2023","2021","FALSE","TRUE","doi_o: 10.1037/0022-3514.54.4.569","keep_1","10.1037/0022-3514.54.4.569"
"replication","10.31219/osf.io/x394e_v2","10.31219/osf.io/x394e_v3","Hindsight Bias: A Preregistered Replication Study Of Fischhoff (1975) With An Extension On Depressive Symptoms As Moderation.","Hindsight Bias: A Preregistered Replication Study Of Fischhoff (1975) With An Extension On Depressive Symptoms As Moderation.","1","seda","seda","2025","2025","TRUE","TRUE","doi_o: 10.1037/0096-1523.1.3.288","keep_2","10.1037/0096-1523.1.3.288"
"replication","10.31234/osf.io/fyx9c_v1","10.1037/pspa0000444","Desire for Status Is Positively Associated With Overconfidence: A Replication and Extension of Study 5 in C. Anderson, Brion, et al. (2012)","Desire for status is positively associated with overconfidence: A replication and extension of study 5 in C. Anderson, Brion, et al. (2012).","1","mayiwar","mayiwar","2025","2026","TRUE","FALSE","doi_o: 10.1037/a0029395","keep_2","10.1037/a0029395"
"replication","10.1177/08902070251410250","10.31234/osf.io/n9kgz_v2","Revisiting regulatory fit and its effect on honesty: A replication attempt","Revisiting regulatory fit and its effect on honesty: A replication attempt","1","ścigała","ścigała","2025","2025","FALSE","TRUE","doi_o: 10.1037/pspa0000306","keep_1","10.1037/pspa0000306"
"replication","10.31234/osf.io/4j8xb","10.1038/s41598-024-63724-2","Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea: Replication from KDEF to NimStim","Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea: Replication from KDEF to NimStim","1","akselevich","akselevich","2024","2024","TRUE","FALSE","doi_o: 10.1038/s41598-022-24919-7","keep_2","10.1038/s41598-022-24919-7"
"replication","10.1016/j.actpsy.2026.106214","10.1101/2025.07.30.667636","Revisiting object contextual cueing: A replication study on implicit learning","Revisiting object contextual cueing: A replication study on implicit learning","1","gaál","gaál","2026","2025","FALSE","TRUE","doi_o: 10.1111/1467-9280.00168","keep_1","10.1111/1467-9280.00168"
"replication","10.1108/s0193-230620150000018002","10.1108/s0193-230620150000018002?utm_campaign=repec&wt.mc_id=repec","The Impact of Social Information on the Voluntary Provision of Public Goods: A Replication Study","The Impact of Social Information on the Voluntary Provision of Public Goods: A Replication Study","1","murphy","murphy","2015","2015","FALSE","FALSE","doi_o: 10.1111/j.1468-0297.2009.02267.x","keep_1","10.1111/j.1468-0297.2009.02267.x"
"replication","10.6084/m9.figshare.4213137.v2","10.1098/rsos.160431","R Studio Script from The effects of exposure to objective coherence on perceived meaning in life: a preregistered direct replication of Heintzelman, Trent & King (2013)","The effects of exposure to objective coherence on perceived meaning in life: a preregistered direct replication of Heintzelman, Trent & King (2013)","0.87","ratner","ratner","2016","2016","FALSE","FALSE","doi_o: 10.1177/0956797612465878","keep_2","10.1177/0956797612465878"
"replication","10.31234/osf.io/3xrbj","10.1177/19485506241257971","Does Perceived Similarity Between Present and Future Self Predict Well-Being? A Re-Analysis and Replication of Reiff et al. (2020).","Does Perceived Similarity Between Present and Future Self Predict Well-Being? A Reanalysis and Replication of","0.863","weidmann","weidmann","2023","2024","TRUE","FALSE","doi_o: 10.1177/1948550619843931","keep_2","10.1177/1948550619843931"
"replication","10.1101/416321","10.1016/j.nicl.2019.101796","Evaluating the evidence for biotypes of depression: attempted replication of Drysdale et.al. 2017","Evaluating the evidence for biotypes of depression: Methodological replication and extension of","0.67","dinga","dinga","2018","2019","TRUE","FALSE","doi_o: 10.1038/nm.4246","keep_2","10.1038/nm.4246"
"replication","10.7554/elife.57614","10.1101/2020.04.05.026823","Lack of evidence for associative learning in pea plants","Pavlov’s pea plants? Not so fast. An attempted replication of Gagliano et al . (December 2016)","0.253","markel","markel","2020","2020","FALSE","TRUE","doi_o: 10.1038/srep38427","keep_1","10.1038/srep38427"
"replication","10.17615/snbr-qh40","10.1371/journal.pgen.1006343","No Reliable Association between Runs of Homozygosity and Schizophrenia in a Well-Powered Replication Study","No Reliable Association between Runs of Homozygosity and Schizophrenia in a Well-Powered Replication Study","1","elisabeth","johnson","2016","2016","FALSE","FALSE","doi_o: 10.1371/journal.pgen.1002656","keep_2","10.1371/journal.pgen.1002656"
"replication","10.7554/elife.33468","10.1101/111807","Large-scale replication study reveals a limit on probabilistic prediction in language comprehension","Limits on prediction in language comprehension: A multi-lab failure to replicate evidence for probabilistic pre-activation of phonology","0.311","nieuwland","nieuwland","2018","2017","FALSE","TRUE","doi_o: 10.1038/nn1504","keep_1","10.1038/nn1504"
"replication","10.1002/ejsp.2390","10.1002/ejsp.2175","A direct replication: Unconscious arithmetic processing","Retracted: Unconscious arithmetic processing: A direct replication","0.453","karpinski","karpinski","2018","2016","FALSE","FALSE","doi_o: 10.1073/pnas.1211645109","keep_1","10.1073/pnas.1211645109"
