side,doi_1,doi_2,applied_action,resolution,title_1,title_2,title_sim,first_author_1,first_author_2,year_1,year_2,is_preprint_1,is_preprint_2,group_key,doi_o_group,doi_remove,doi_keep
replication,10.48550/arxiv.2208.07395,10.17879/replicationresearch-2026-9414,auto_keep_2,auto: drop doi_1,Reproduction and Replication of an Adversarial Stylometry Experiment,Reproduction and Replication of an Adversarial Stylometry Experiment,1.0,wang,haining,2022,2026,True,False,doi_o: 10.1145/2382448.2382450,10.1145/2382448.2382450,10.48550/arxiv.2208.07395,10.17879/replicationresearch-2026-9414
replication,10.17605/osf.io/v9ykq,10.17605/osf.io/vufm2,auto_keep_1,auto: drop doi_2,"Reproduction (with author data): Ku & Zaroff (2014, Journal of Environmental Psychology)","Reproduction (with author data): Ku & Zaroff (2014, Journal of Environmental Psychology)",1.0,parsons,sonmez,2022,2020,True,True,doi_o: 10.1016/j.jenvp.2014.10.008,10.1016/j.jenvp.2014.10.008,10.17605/osf.io/vufm2,10.17605/osf.io/v9ykq
replication,10.17605/osf.io/jcbfw,10.17605/osf.io/ysncd,auto_keep_1,auto: drop doi_2,"Reproduction (with author data & code): Balcells & Kalyvas (2014, Journal of Conflict Resolution)","Reproduction (with author data & code): Balcells & Kalyvas (2014, Journal of Conflict Resolution)",1.0,parsons,fox,2022,2020,True,True,doi_o: 10.1177/0022002714547903,10.1177/0022002714547903,10.17605/osf.io/ysncd,10.17605/osf.io/jcbfw
replication,10.17605/osf.io/vk2a3,10.17605/osf.io/m4hqw,auto_keep_1,auto: drop doi_2,"Reproduction (with author data & code): Cohen et al. (2015, American Economic Review)","Reproduction (with author data & code): Cohen et al. (2015, American Economic Review)",1.0,loomas,miske,2022,2020,True,True,doi_o: 10.1257/aer.20130267,10.1257/aer.20130267,10.17605/osf.io/m4hqw,10.17605/osf.io/vk2a3
replication,10.17605/osf.io/sc87r,10.17605/osf.io/g9aqj,auto_keep_1,auto: drop doi_2,"Reproduction (with author data & code): Brown & Kim (2014, Management Science)","Reproduction (with author data & code): Brown & Kim (2014, Management Science)",1.0,parsons,miske,2021,2020,True,True,doi_o: 10.1287/mnsc.2013.1794,10.1287/mnsc.2013.1794,10.17605/osf.io/g9aqj,10.17605/osf.io/sc87r
replication,10.17605/osf.io/namvy,10.17605/osf.io/37jd4,auto_keep_1,auto: drop doi_2,"Reproduction (with author data & code): Clark (2009, Journal of Political Economy)","Reproduction (with author data & code): Clark (2009, Journal of Political Economy)",1.0,parsons,miske,2022,2020,True,True,doi_o: 10.1086/605604,10.1086/605604,10.17605/osf.io/37jd4,10.17605/osf.io/namvy
replication,10.17605/osf.io/gpyu7,10.17605/osf.io/sv3gb,auto_keep_1,auto: drop doi_2,"Reproduction (with author data & code): LaFave & Thomas (2016, Econometrica)","Reproduction (with author data & code): LaFave & Thomas (2016, Econometrica)",1.0,parsons,miske,2021,2020,True,True,doi_o: 10.3982/ecta12987,10.3982/ecta12987,10.17605/osf.io/sv3gb,10.17605/osf.io/gpyu7
replication,10.17605/osf.io/6mdxr,10.17605/osf.io/4n7ef,auto_keep_1,auto: drop doi_2,"Reproduction (with author data & code): Lu & Anderson (2015, Journal of Labor Economics)","Reproduction (with author data & code): Lu & Anderson (2015, Journal of Labor Economics)",1.0,parsons,fox,2022,2020,True,True,doi_o: 10.1086/677392,10.1086/677392,10.17605/osf.io/4n7ef,10.17605/osf.io/6mdxr
replication,10.17605/osf.io/38zs9,10.17605/osf.io/gb46p,auto_keep_1,auto: drop doi_2,"Reproduction (with author data & code): TERTYTCHNAYA et al. (2018, American Political Science Review)","Reproduction (with author data & code): TERTYTCHNAYA et al. (2018, American Political Science Review)",1.0,fox,loomas,2020,2022,True,True,doi_o: 10.1017/s0003055418000485,10.1017/s0003055418000485,10.17605/osf.io/gb46p,10.17605/osf.io/38zs9
replication,10.23668/psycharchives.4766,10.5964/jnc.6063,auto_keep_1,auto: drop doi_2,Not all Elementary School Teachers are Scared of Math,Not All Elementary School Teachers Are Scared of Math,1.0,artemenko,artemenko,2021,2021,False,False,doi_o: 10.2307/749455,10.2307/749455,10.5964/jnc.6063,10.23668/psycharchives.4766
replication,10.31234/osf.io/3fvyn,10.1525/collabra.68054,auto_keep_2,auto: drop doi_1,Expressive responding in support of Donald Trump: An extended replication of Schaffner and Luks (2018),Expressive Responding in Support of Donald Trump: An Extended Replication of Schaffner and Luks (2018),1.0,ross,ross,2022,2023,True,False,doi_o: 10.1093/poq/nfx042,10.1093/poq/nfx042,10.31234/osf.io/3fvyn,10.1525/collabra.68054
original,10.1080/07350015.1995.10524601,10.2307/1392187,auto_keep_1,auto: drop doi_2,Lag Order and Critical Values of the Augmented Dickey–Fuller Test,Lag Order and Critical Values of the Augmented Dickey-Fuller Test,1.0,cheung,cheung,1995,1995,False,False,title: lag order and critical values of the augmented dickeyfuller ,,10.2307/1392187,10.1080/07350015.1995.10524601
original (DOI variant),10.1037//0022-3514.68.5.793,10.1037/0022-3514.68.5.793,auto_keep_2,auto: drop doi_1,Inaction inertia: Foregoing future benefits as a result of an initial failure to act.,Inaction inertia: Foregoing future benefits as a result of an initial failure to act.,1.0,tykocinski,tykocinski,1995,1995,False,False,doi_variant: 10.1037/0022-3514.68.5.793,,10.1037//0022-3514.68.5.793,10.1037/0022-3514.68.5.793
original (fuzzy),10.3386/w6614,10.1016/s0047-2727(99)00036-5,auto_keep_1,auto: drop doi_2,Coveting Thy Neighbor's Manuafacturing: The Dilemma of State Income Apportionment,Coveting thy neighbor’s manufacturing: the dilemma of state income apportionment,0.987,goolsbee,goolsbee,1998,2000,False,False,author: goolsbee,,10.1016/s0047-2727(99)00036-5,10.3386/w6614
